n_estimators,max_depth,min_samples_leaf,train_accuracy_t1,train_accuracy_t2,train_accuracy,valid_accuracy_t1,valid_accuracy_t2,valid_accuracy
4,90,2,0.973,0.976,0.951,0.556,0.54,0.304
4,90,4,0.96,0.964,0.93,0.588,0.628,0.38
4,90,6,0.944,0.947,0.897,0.595,0.578,0.363
4,90,8,0.931,0.93,0.869,0.599,0.567,0.354
4,90,10,0.922,0.924,0.855,0.557,0.582,0.342
4,100,2,0.973,0.976,0.951,0.556,0.54,0.304
4,100,4,0.96,0.964,0.93,0.588,0.628,0.38
4,100,6,0.944,0.947,0.897,0.595,0.578,0.363
4,100,8,0.931,0.93,0.869,0.599,0.567,0.354
4,100,10,0.922,0.924,0.855,0.557,0.582,0.342
8,10,2,0.927,0.924,0.862,0.662,0.627,0.447
8,10,4,0.913,0.908,0.832,0.622,0.622,0.397
8,10,6,0.915,0.912,0.838,0.644,0.614,0.412
8,10,8,0.91,0.904,0.825,0.651,0.604,0.423
8,10,10,0.885,0.884,0.787,0.637,0.631,0.436
8,20,2,0.993,0.994,0.987,0.615,0.592,0.38
8,20,4,0.985,0.984,0.969,0.605,0.609,0.389
8,20,6,0.975,0.978,0.954,0.614,0.587,0.385
8,20,8,0.966,0.967,0.935,0.577,0.563,0.355
8,20,10,0.954,0.959,0.915,0.599,0.602,0.394
8,30,2,0.992,0.995,0.987,0.615,0.574,0.371
8,30,4,0.985,0.987,0.972,0.601,0.626,0.392
8,30,6,0.977,0.976,0.954,0.621,0.612,0.392
8,30,8,0.967,0.968,0.936,0.585,0.566,0.359
8,30,10,0.954,0.959,0.915,0.584,0.594,0.375
8,40,2,0.992,0.995,0.987,0.615,0.574,0.371
8,40,4,0.985,0.987,0.972,0.601,0.626,0.392
8,40,6,0.977,0.976,0.954,0.612,0.614,0.387
8,40,8,0.967,0.968,0.936,0.585,0.566,0.359
8,40,10,0.954,0.959,0.915,0.584,0.594,0.375
8,50,2,0.992,0.995,0.987,0.615,0.574,0.371
8,50,4,0.985,0.987,0.972,0.601,0.626,0.392
8,50,6,0.977,0.976,0.954,0.612,0.614,0.387
8,50,8,0.967,0.968,0.936,0.585,0.566,0.359
8,50,10,0.954,0.959,0.915,0.584,0.594,0.375
8,60,2,0.992,0.995,0.987,0.615,0.574,0.371
8,60,4,0.985,0.987,0.972,0.601,0.626,0.392
8,60,6,0.977,0.976,0.954,0.612,0.614,0.387
8,60,8,0.967,0.968,0.936,0.585,0.566,0.359
8,60,10,0.954,0.959,0.915,0.584,0.594,0.375
8,70,2,0.992,0.995,0.987,0.615,0.574,0.371
8,70,4,0.985,0.987,0.972,0.601,0.626,0.392
8,70,6,0.977,0.976,0.954,0.612,0.614,0.387
8,70,8,0.967,0.968,0.936,0.585,0.566,0.359
8,70,10,0.954,0.959,0.915,0.584,0.594,0.375
8,80,2,0.992,0.995,0.987,0.615,0.574,0.371
8,80,4,0.985,0.987,0.972,0.601,0.626,0.392
8,80,6,0.977,0.976,0.954,0.612,0.614,0.387
8,80,8,0.967,0.968,0.936,0.585,0.566,0.359
8,80,10,0.954,0.959,0.915,0.584,0.594,0.375
8,90,2,0.992,0.995,0.987,0.615,0.574,0.371
8,90,4,0.985,0.987,0.972,0.601,0.626,0.392
8,90,6,0.977,0.976,0.954,0.612,0.614,0.387
8,90,8,0.967,0.968,0.936,0.585,0.566,0.359
8,90,10,0.954,0.959,0.915,0.584,0.594,0.375
8,100,2,0.992,0.995,0.987,0.615,0.574,0.371
8,100,4,0.985,0.987,0.972,0.601,0.626,0.392
8,100,6,0.977,0.976,0.954,0.612,0.614,0.387
8,100,8,0.967,0.968,0.936,0.585,0.566,0.359
8,100,10,0.954,0.959,0.915,0.584,0.594,0.375
16,10,2,0.954,0.949,0.907,0.666,0.637,0.448
16,10,4,0.938,0.94,0.883,0.649,0.625,0.42
16,10,6,0.938,0.935,0.878,0.671,0.612,0.432
16,10,8,0.931,0.928,0.867,0.658,0.636,0.443
16,10,10,0.918,0.912,0.839,0.647,0.62,0.428
16,20,2,0.998,0.999,0.997,0.618,0.625,0.409
16,20,4,0.993,0.994,0.987,0.62,0.629,0.418
16,20,6,0.986,0.987,0.973,0.64,0.612,0.405
16,20,8,0.98,0.982,0.962,0.596,0.572,0.37
