n_folds,test_score,train_score,arch,fixed_parameters
4,0.6211,0.4867,"[5, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4316,0.5547,"[5, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.3974,0.436,"[5, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4816,0.5088,"[5, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5684,0.5298,"[5, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4211,0.5294,"[5, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4184,0.632,"[5, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5711,0.5325,"[6, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5711,0.5325,"[6, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4026,0.4394,"[6, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4289,0.4675,"[6, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.632,"[6, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4816,0.6285,"[6, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5105,0.6405,"[6, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4289,0.4675,"[6, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5368,0.5578,"[6, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5026,0.5594,"[6, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5368,0.6157,"[6, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4316,0.5547,"[7, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5158,0.5397,"[7, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4921,0.4831,"[7, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5237,0.5881,"[7, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4947,0.5636,"[7, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4316,0.6185,"[7, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4237,0.6337,"[7, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.6396,"[7, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4658,0.6143,"[7, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4658,0.5597,"[7, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4789,0.5514,"[7, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4421,0.5698,"[9, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.632,"[9, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5526,0.6099,"[9, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4816,0.5088,"[9, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5921,0.5291,"[9, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4763,0.5951,"[9, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4921,0.6392,"[9, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5158,0.4681,"[9, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4895,0.5012,"[9, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4842,0.6216,"[9, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5947,0.5018,"[9, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.3816,0.512,"[14, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5816,0.5222,"[14, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4632,0.5861,"[14, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4816,0.6361,"[14, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4474,0.6222,"[14, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4632,0.5861,"[14, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.55,0.556,"[14, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4263,0.6294,"[14, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5211,0.6305,"[14, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5474,0.626,"[14, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5105,0.5281,"[14, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4632,0.5861,"[28, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.3947,0.5189,"[28, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.55,0.5371,"[28, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4711,0.6536,"[28, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5026,0.5114,"[28, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4342,0.5081,"[28, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4947,0.6285,"[28, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5184,0.5107,"[28, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5605,0.636,"[28, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4605,0.5877,"[28, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4158,0.629,"[28, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4158,0.6242,"[56, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4632,0.5861,"[56, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4079,0.6285,"[56, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.4347,"[56, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4316,0.554,"[56, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4684,0.6283,"[56, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4579,0.6305,"[56, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5263,0.6135,"[56, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4211,0.6294,"[56, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5579,0.6155,"[56, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4263,0.4787,"[56, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.3789,0.5133,"[84, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5368,0.6196,"[84, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.55,0.6116,"[84, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4211,0.6138,"[84, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4263,0.642,"[84, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5737,0.5498,"[84, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4368,0.6378,"[84, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4868,0.6344,"[84, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4474,0.6269,"[84, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
